index,datetime,soil_moisture,soil_temperature
86,2017-05-23 11:28:26,37.63,31.7
87,2017-05-23 11:30:26,37.16,31.8
88,2017-05-23 11:32:26,37.53,32.2
89,2017-05-23 11:34:26,37.01,32.4
90,2017-05-23 11:36:26,37.16,32.2
91,2017-05-16 16:19:51,27.84,46.8
92,2017-05-16 16:21:51,27.9,47
93,2017-05-16 16:23:51,27.91,47
94,2017-05-16 16:25:51,27.79,47.1
95,2017-05-16 16:27:51,27.83,47.1
96,2017-05-16 16:29:51,27.79,47
97,2017-05-16 16:31:51,27.83,46.8
98,2017-05-16 16:33:51,27.83,46.5
99,2017-05-16 16:35:51,27.76,46.4
100,2017-05-16 16:37:51,27.68,46.5
101,2017-05-16 16:39:51,27.71,46.5
102,2017-05-16 16:41:51,27.76,46.5
103,2017-05-16 16:43:51,27.69,46.5
104,2017-05-16 16:45:51,27.74,46.2
105,2017-05-16 16:47:51,27.59,46.1
106,2017-05-16 16:49:51,27.64,46.1
107,2017-05-16 16:51:51,27.67,46
108,2017-05-16 16:53:51,27.55,45.8
109,2017-05-16 16:55:51,27.51,45.1
110,2017-05-16 16:57:51,27.57,44.6
111,2017-05-16 16:59:51,27.52,44.3
112,2017-05-16 17:01:51,27.62,44.3
113,2017-05-16 17:03:51,27.37,44.5
114,2017-05-16 17:05:51,27.45,44.6
115,2017-05-16 17:07:51,27.51,44.8
116,2017-05-16 17:09:51,27.4,44.6
117,2017-05-16 17:11:51,27.46,44.7
118,2017-05-16 17:13:51,27.46,44.6
119,2017-05-16 17:15:51,27.49,44.3
120,2017-05-16 17:17:51,27.32,43.9
121,2017-05-16 17:19:51,27.33,43.8
122,2017-05-16 17:21:51,27.33,43.7
123,2017-05-16 17:23:51,27.31,43.3
124,2017-05-23 11:46:42,36.67,32.3
125,2017-05-23 11:48:13,36.95,32.2
126,2017-05-23 11:50:13,36.64,32.2
127,2017-05-23 11:52:13,36.96,32.3
128,2017-05-23 11:54:13,36.75,32.4
129,2017-05-23 11:56:13,36.54,32.9
130,2017-05-23 11:58:13,36.7,33
131,2017-05-23 12:00:13,36.26,33.3
132,2017-05-23 12:02:13,36.25,33
133,2017-05-23 12:04:13,36.55,33.1
134,2017-05-23 12:06:13,36.29,33.2
135,2017-05-23 12:08:13,36.18,33.1
136,2017-05-23 12:10:13,36.16,33.1
137,2017-05-23 12:12:13,35.92,33
138,2017-05-23 12:14:13,35.86,33.2
139,2017-05-23 12:16:13,36.02,33.3
140,2017-05-23 12:18:13,36,33.6
141,2017-05-23 12:20:13,35.97,33.6
142,2017-05-23 12:22:13,36.07,33.8
143,2017-05-23 12:24:13,36.04,33.9
144,2017-05-23 12:26:13,35.91,33.5
145,2017-05-23 12:28:13,35.7,33.7
146,2017-05-23 12:30:13,35.7,33.9
147,2017-05-23 12:32:13,35.44,34.1
148,2017-05-23 12:34:13,35.54,34.1
149,2017-05-23 12:36:13,35.67,33.9
150,2017-05-23 12:38:13,35.38,33.7
151,2017-05-23 12:40:13,35.54,33.6
152,2017-05-23 12:42:13,35.51,33.7
153,2017-05-23 12:44:13,35.21,33.5
154,2017-05-23 12:46:13,35.32,33.3
155,2017-05-23 13:00:49,34.65,33.1
156,2017-05-23 13:02:49,34.65,33.3
157,2017-05-23 13:04:49,34.73,33.5
158,2017-05-23 13:06:49,34.65,33.4
159,2017-05-23 13:08:49,34.88,33.4
160,2017-05-23 13:10:49,34.94,33.3
161,2017-05-23 13:12:49,34.81,33.1
162,2017-05-23 13:14:49,34.9,33.5
163,2017-05-23 13:16:49,34.65,33.6
164,2017-05-23 13:18:49,34.6,34.1
165,2017-05-23 13:20:49,34.36,34.5
166,2017-05-23 13:22:49,34.59,34.8
167,2017-05-23 13:24:49,34.51,35.1
168,2017-05-23 13:26:49,34.59,35.3
169,2017-05-23 13:28:49,34.13,35.4
170,2017-05-23 13:30:49,34.27,35.2
171,2017-05-23 13:32:49,33.97,35.3
172,2017-05-23 13:34:49,34.32,35.4
173,2017-05-23 13:36:49,34.18,35.4
174,2017-05-23 13:38:49,34.07,35.6
175,2017-05-23 13:40:49,33.65,35.7
176,2017-05-23 13:42:49,33.81,35.9
177,2017-05-23 13:44:49,33.71,36
178,2017-05-23 13:46:49,33.98,35.8
179,2017-05-23 13:48:49,33.54,35.2
180,2017-05-23 13:50:49,33.89,34.3
181,2017-05-23 13:52:49,33.78,33.7
182,2017-05-23 13:54:49,33.85,33.6
183,2017-05-23 13:56:49,33.73,34
184,2017-05-16 11:26:07,35.51,26.4
185,2017-05-16 11:28:07,35.4,28.2
186,2017-05-16 11:30:07,35.21,29.5
187,2017-05-16 11:32:07,35.08,30.4
188,2017-05-16 11:34:07,34.88,30.8
189,2017-05-16 11:36:07,34.83,31.4
190,2017-05-16 11:38:07,34.65,32
191,2017-05-16 11:40:07,34.51,32.6
192,2017-05-16 11:42:07,34.46,33.4
193,2017-05-16 11:44:07,34.33,33.7
194,2017-05-16 11:46:07,34.26,33.7
195,2017-05-16 11:48:07,34.17,33.6
196,2017-05-16 11:50:07,34.07,33.9
197,2017-05-16 11:52:07,33.98,34.5
198,2017-05-16 11:54:07,33.87,35.1
200,2017-05-17 14:50:52,26.66,44.5
201,2017-05-17 14:52:12,26.7,44.5
202,2017-05-17 14:54:12,26.63,44.3
203,2017-05-17 14:56:12,26.62,44.2
204,2017-05-17 14:58:12,26.73,44.2
205,2017-05-17 15:00:12,26.66,44.2
206,2017-05-17 15:02:12,26.63,44.3
207,2017-05-17 15:04:12,26.6,44.5
208,2017-05-17 15:06:12,26.55,44.5
209,2017-05-17 15:08:12,26.56,44.8
210,2017-05-17 15:10:12,26.54,45.1
211,2017-05-17 15:12:12,26.46,45.4
212,2017-05-17 15:14:12,26.6,45.5
213,2017-05-17 15:16:12,26.48,45
214,2017-05-17 15:18:12,26.46,45.1
215,2017-05-17 15:20:12,26.39,44.9
216,2017-05-17 15:22:12,26.47,44.8
217,2017-05-17 15:24:12,26.51,44.7
218,2017-05-17 15:26:12,26.42,44.3
219,2017-05-17 15:28:12,26.34,44.5
220,2017-05-17 15:30:12,26.38,44.6
221,2017-05-17 15:32:12,26.18,44.5
222,2017-05-17 15:34:12,26.32,44.8
223,2017-05-17 15:36:12,26.42,44.9
224,2017-05-17 15:38:12,26.38,45
225,2017-05-17 15:40:12,26.32,44.8
226,2017-05-17 15:42:12,26.28,44.6
227,2017-05-17 15:44:12,26.29,44.1
228,2017-05-17 15:46:12,26.35,44.1
229,2017-05-17 15:48:12,26.28,43.9
230,2017-05-17 15:50:12,26.23,44
231,2017-05-17 15:56:46,26.14,44.3
232,2017-05-17 15:58:46,26.17,44.1
233,2017-05-17 16:00:46,26.16,43.9
234,2017-05-17 16:02:46,26.11,43.5
235,2017-05-17 16:04:46,26.18,43.2
236,2017-05-17 16:06:46,26.15,43.2
237,2017-05-17 16:08:46,26.23,43
238,2017-05-17 16:10:46,26.07,42.9
239,2017-05-17 16:12:46,26.02,43.2
240,2017-05-17 16:14:46,26.06,43.4
241,2017-05-17 16:16:46,25.93,43.6
242,2017-05-17 16:18:46,26.08,43.6
243,2017-05-17 16:20:46,26.06,43.9
244,2017-05-17 16:22:46,26.09,44.1
245,2017-05-17 16:24:46,26.08,44.2
246,2017-05-17 16:26:46,26.04,44.1
247,2017-05-17 16:28:46,25.95,43.9
248,2017-05-17 16:30:46,25.95,44
249,2017-05-17 16:32:46,25.99,44.1
250,2017-05-17 16:34:46,25.95,43.9
251,2017-05-17 16:36:46,25.97,43.7
252,2017-05-17 16:38:46,25.88,43.7
253,2017-05-17 16:40:46,25.9,44
254,2017-05-17 16:42:46,25.86,44.1
255,2017-05-17 16:44:46,25.93,44.1
256,2017-05-17 16:46:46,25.92,44
257,2017-05-17 16:48:46,25.73,43.9
258,2017-05-17 16:50:46,25.86,44
259,2017-05-17 16:52:46,25.9,43.9
260,2017-05-17 16:54:46,25.79,44
261,2017-05-24 10:10:47,31.29,31.2
262,2017-05-24 10:12:47,39.09,31.5
263,2017-05-24 10:14:47,38.76,31.7
264,2017-05-24 10:16:47,38.53,32.3
265,2017-05-24 10:18:47,37.76,32.9
266,2017-05-24 10:20:47,37.6,32.8
267,2017-05-24 10:22:47,37.41,32.9
268,2017-05-24 10:24:47,37.26,33.3
269,2017-05-24 10:26:47,37.11,33.7
270,2017-05-24 10:28:47,36.96,33.7
271,2017-05-24 10:30:47,36.86,33.4
272,2017-05-24 10:32:47,36.59,33.5
273,2017-05-24 10:34:47,36.57,33
274,2017-05-24 10:36:47,36.5,33
275,2017-05-24 10:38:47,36.52,33
276,2017-05-24 10:40:47,36.26,33.2
277,2017-05-24 10:42:47,36.3,33.5
278,2017-05-24 10:44:47,36.23,33.7
279,2017-05-24 10:46:47,36.19,34
280,2017-05-24 10:48:47,36.11,34.1
281,2017-05-24 10:50:47,36.02,34.4
282,2017-05-24 10:52:47,35.95,34.1
283,2017-05-24 10:54:47,35.9,33.5
284,2017-05-24 10:56:47,35.78,33.2
285,2017-05-24 10:58:47,35.75,33
286,2017-05-24 11:00:47,35.63,32.9
287,2017-05-24 11:02:47,35.56,32.1
288,2017-05-24 11:04:47,35.52,32.3
289,2017-05-24 11:06:47,35.55,32.8
290,2017-05-24 11:08:47,35.47,33
291,2017-05-24 12:24:29,33.5,35.3
292,2017-05-24 12:26:29,33.46,35.7
293,2017-05-24 12:28:29,33.51,36.5
294,2017-05-24 12:30:29,33.44,36.3
295,2017-05-24 12:32:29,33.42,34.8
296,2017-05-24 12:34:29,33.34,33
297,2017-05-24 12:36:29,33.42,33
298,2017-05-24 12:38:29,33.35,33.1
299,2017-05-24 12:40:29,33.34,32.9
300,2017-05-24 12:42:29,33.36,33.7
301,2017-05-24 12:44:29,33.21,34.9
302,2017-05-24 12:46:29,32.93,35.5
303,2017-05-24 12:48:29,33.15,36.3
304,2017-05-24 12:50:29,33.13,36.8
305,2017-05-24 12:52:29,33.09,37.7
306,2017-05-24 12:54:29,33.06,38.3
307,2017-05-24 12:56:29,32.96,38.7
308,2017-05-24 12:58:29,32.85,39.1
309,2017-05-24 13:00:29,32.86,38.9
310,2017-05-24 13:02:29,32.86,38.9
311,2017-05-24 13:04:29,32.74,38.8
312,2017-05-24 13:06:29,32.72,38.3
313,2017-05-24 13:08:29,32.59,38.2
314,2017-05-24 13:10:29,32.6,38.4
315,2017-05-24 13:12:29,32.57,38.4
316,2017-05-24 13:14:29,32.6,38.5
317,2017-05-24 13:16:29,32.45,38.5
318,2017-05-24 13:18:29,32.44,38.4
319,2017-05-24 13:20:29,32.39,37.8
320,2017-05-24 13:22:29,32.34,37.7
321,2017-05-17 13:44:09,27.35,42.6
322,2017-05-17 13:46:09,27.2,42.6
323,2017-05-17 13:48:09,27.33,42.5
324,2017-05-17 13:50:09,27.33,43
325,2017-05-17 13:52:09,27.32,43.3
326,2017-05-17 13:54:09,27.24,43.9
327,2017-05-17 13:56:09,27.16,44.3
328,2017-05-17 13:58:09,27.19,44.6
329,2017-05-17 14:00:09,27.19,44.5
330,2017-05-17 14:02:09,27.21,44.5
331,2017-05-17 14:04:09,27.23,44.5
332,2017-05-17 14:06:09,27.22,44.4
333,2017-05-17 14:08:09,27.1,44.3
334,2017-05-17 14:10:09,27.11,44.3
335,2017-05-17 14:12:09,27.03,44.1
336,2017-05-17 14:14:09,26.99,44.2
337,2017-05-17 14:16:09,27.05,43.9
338,2017-05-17 14:18:09,26.98,44.1
339,2017-05-17 14:20:09,26.96,44.3
340,2017-05-17 14:22:09,27.03,44.4
341,2017-05-17 14:24:09,27.03,44.5
342,2017-05-17 14:26:09,27.01,44.8
343,2017-05-17 14:28:09,26.89,44.9
344,2017-05-17 14:30:09,26.87,44.9
345,2017-05-17 14:32:09,26.9,44.4
346,2017-05-17 14:34:09,26.86,44
347,2017-05-17 14:36:09,26.84,43.7
348,2017-05-17 14:38:09,26.77,43.9
349,2017-05-17 14:40:09,26.77,44
350,2017-05-17 14:42:09,26.82,44
351,2017-05-17 12:20:14,28.66,40.2
352,2017-05-17 12:22:14,28.62,40.3
353,2017-05-17 12:24:14,28.64,40.3
354,2017-05-17 12:26:14,28.58,40.6
355,2017-05-17 12:28:14,28.55,40.4
356,2017-05-17 12:30:14,28.57,40.1
357,2017-05-17 12:32:14,28.46,40.2
358,2017-05-17 12:34:14,28.41,40.4
359,2017-05-17 12:36:14,28.36,40.3
360,2017-05-17 12:38:14,28.38,40.5
361,2017-05-17 12:40:14,28.33,40.6
362,2017-05-17 12:42:14,28.29,40.6
363,2017-05-17 12:44:14,28.31,40.9
364,2017-05-17 12:46:14,28.3,41
365,2017-05-17 12:48:14,28.21,41.2
366,2017-05-17 12:50:14,28.1,40.8
367,2017-05-17 12:52:14,28.14,40.9
368,2017-05-17 12:54:14,28.22,41.2
369,2017-05-17 12:56:14,28.08,41.8
370,2017-05-17 12:58:14,27.98,41.9
371,2017-05-17 13:00:14,28.06,42
372,2017-05-17 13:02:14,27.96,42.1
373,2017-05-17 13:04:14,28.01,42.1
374,2017-05-17 13:06:14,27.88,41.5
375,2017-05-17 13:08:14,27.98,41.4
376,2017-05-17 13:10:14,27.9,42
377,2017-05-17 13:12:14,27.87,42.3
378,2017-05-17 13:14:14,27.82,42.4
379,2017-05-17 13:16:14,27.8,42.3
380,2017-05-17 13:18:14,27.74,42.1
381,2017-05-24 11:18:16,35.09,35.2
382,2017-05-24 11:20:16,34.91,35.9
383,2017-05-24 11:22:16,34.91,36.4
384,2017-05-24 11:24:16,34.84,36.6
385,2017-05-24 11:26:16,34.88,36.4
386,2017-05-24 11:28:16,34.82,35.9
387,2017-05-24 11:30:16,34.66,35.9
388,2017-05-24 11:32:16,34.77,35.8
389,2017-05-24 11:34:16,34.62,35.9
390,2017-05-24 11:36:16,34.59,35.7
391,2017-05-24 11:38:16,34.56,35.6
392,2017-05-24 11:40:16,34.44,35.6
393,2017-05-24 11:42:16,34.45,35.5
394,2017-05-24 11:44:16,34.36,35.6
395,2017-05-24 11:46:16,34.32,35.5
396,2017-05-24 11:48:16,34.35,35.6
397,2017-05-24 11:50:16,34.2,36.1
398,2017-05-24 11:52:16,34.14,36.5
399,2017-05-24 11:54:16,34.07,36.8
400,2017-05-24 11:56:16,34.14,36.9
401,2017-05-24 11:58:16,34,35.7
402,2017-05-24 12:00:16,33.97,33.8
403,2017-05-24 12:02:16,33.87,32.3
404,2017-05-24 12:04:16,33.87,32.9
405,2017-05-24 12:06:16,33.85,33.2
406,2017-05-24 12:08:16,33.78,33.5
407,2017-05-24 12:10:16,33.8,32.8
408,2017-05-24 12:12:16,33.7,31.5
409,2017-05-24 12:14:16,33.81,30.5
410,2017-05-24 12:16:16,33.72,30.4
411,2017-05-24 14:51:00,31.62,30.4
412,2017-05-24 14:53:00,31.54,30.4
413,2017-05-24 14:55:00,31.5,30.2
414,2017-05-24 14:57:00,31.48,30.2
415,2017-05-24 14:59:00,31.57,31.5
416,2017-05-24 15:01:00,31.5,32.3
417,2017-05-24 15:03:00,31.42,31.8
418,2017-05-24 15:05:00,31.5,32
419,2017-05-24 15:07:00,31.41,31.7
420,2017-05-24 15:09:00,31.34,31.3
421,2017-05-24 15:11:00,31.34,31.9
422,2017-05-24 15:13:00,31.31,31.5
423,2017-05-24 15:15:00,31.29,31.7
424,2017-05-24 15:17:00,31.28,32.5
425,2017-05-24 15:19:00,31.26,33.4
426,2017-05-24 15:21:00,31.22,33.8
427,2017-05-24 15:23:00,31.19,34.7
428,2017-05-24 15:25:00,31.26,35.4
429,2017-05-24 15:27:00,31.18,34.9
430,2017-05-24 15:29:00,31.09,35.1
431,2017-05-24 15:31:00,31.12,34.9
432,2017-05-24 15:33:00,31.15,34.1
433,2017-05-24 15:35:00,30.99,33.4
434,2017-05-24 15:37:00,31.07,33.1
435,2017-05-24 15:39:00,31.1,32.8
436,2017-05-24 15:41:00,31.04,32.3
437,2017-05-24 15:43:00,31.05,31.5
438,2017-05-24 15:45:00,31.1,31.5
439,2017-05-24 15:47:00,30.94,32.5
440,2017-05-24 15:49:00,31.05,33
441,2017-05-17 11:16:19,29.93,36.8
442,2017-05-17 11:18:19,29.94,37
443,2017-05-17 11:20:19,29.84,37
444,2017-05-17 11:22:19,29.72,37.4
445,2017-05-17 11:24:19,29.67,37.2
446,2017-05-17 11:26:19,29.66,37.5
447,2017-05-17 11:28:19,29.61,37.4
448,2017-05-17 11:30:19,29.52,37.7
449,2017-05-17 11:32:19,29.55,37.6
450,2017-05-17 11:34:19,29.57,37.4
451,2017-05-17 11:36:19,29.45,36.8
452,2017-05-17 11:38:19,29.48,37.1
453,2017-05-17 11:40:19,29.44,37.2
454,2017-05-17 11:42:19,29.42,37.1
455,2017-05-17 11:44:19,29.22,37.1
456,2017-05-17 11:46:19,29.37,37.4
457,2017-05-17 11:48:19,29.2,37.9
458,2017-05-17 11:50:19,29.17,38
459,2017-05-17 11:52:19,29.14,38.5
460,2017-05-17 11:54:19,29.15,38.9
461,2017-05-17 11:56:19,29.2,39.2
462,2017-05-17 11:58:19,29.17,39.5
463,2017-05-17 12:00:19,29.02,39.5
464,2017-05-17 12:02:19,28.91,39.8
465,2017-05-17 12:04:19,28.92,39.9
466,2017-05-17 12:06:19,28.95,40.2
467,2017-05-17 12:08:19,28.85,40
468,2017-05-17 12:10:19,28.84,39.7
469,2017-05-17 12:12:19,28.83,39.8
470,2017-05-17 12:14:19,28.77,39.9
471,2017-05-17 10:10:22,31.48,32.4
472,2017-05-17 10:12:22,31.47,32.8
473,2017-05-17 10:14:22,31.44,33.2
474,2017-05-17 10:16:22,31.32,33.3
475,2017-05-17 10:18:22,31.34,33.3
476,2017-05-17 10:20:22,31.22,33.3
477,2017-05-17 10:22:22,31.23,33.6
478,2017-05-17 10:24:22,31.25,34
479,2017-05-17 10:26:22,31.18,34.3
480,2017-05-17 10:28:22,30.86,34.6
481,2017-05-17 10:30:22,31.07,34.8
482,2017-05-17 10:32:22,30.94,35.2
483,2017-05-17 10:34:22,30.81,35.5
484,2017-05-17 10:36:22,30.9,35.5
485,2017-05-17 10:38:22,30.75,35.5
486,2017-05-17 10:40:22,30.7,35.4
487,2017-05-17 10:42:22,30.75,35.5
488,2017-05-17 10:44:22,30.57,35.3
489,2017-05-17 10:46:22,30.6,35.4
490,2017-05-17 10:48:22,30.56,35.7
491,2017-05-17 10:50:22,30.52,36.1
492,2017-05-17 10:52:22,30.44,36.4
493,2017-05-17 10:54:22,30.32,36.7
494,2017-05-17 10:56:22,30.36,36.8
495,2017-05-17 10:58:22,30.32,36.8
496,2017-05-17 11:00:22,30.26,37
497,2017-05-17 11:02:22,30.13,36.8
498,2017-05-17 11:04:22,30.08,36.6
499,2017-05-17 11:06:22,30.1,36.4
500,2017-05-17 11:08:22,30.11,36.5
501,2017-05-17 11:11:58,29.96,36.7
502,2017-05-24 13:28:47,32.38,38.1
503,2017-05-24 13:30:47,32.22,38.3
504,2017-05-24 13:32:47,32.2,38.4
505,2017-05-24 13:34:47,31.99,37.5
506,2017-05-24 13:36:47,32.06,37.1
507,2017-05-24 13:38:47,32.07,36.2
508,2017-05-24 13:40:47,31.95,34.9
509,2017-05-24 13:42:47,31.97,35.2
510,2017-05-24 13:44:47,32.08,36.5
511,2017-05-24 13:46:47,31.89,36.4
512,2017-05-24 13:48:47,31.91,34.5
513,2017-05-24 13:50:47,31.84,33.1
514,2017-05-24 13:52:47,31.93,32.1
515,2017-05-24 13:54:47,32.01,31.3
516,2017-05-24 13:56:47,31.78,30.9
517,2017-05-24 13:58:47,31.97,30.5
518,2017-05-24 14:00:47,31.86,30.3
519,2017-05-24 14:02:47,31.79,29.7
520,2017-05-24 14:04:47,31.94,29.4
521,2017-05-24 14:06:47,31.86,29.4
522,2017-05-24 14:08:47,31.89,29.4
523,2017-05-24 14:10:47,31.79,29.1
524,2017-05-24 14:12:47,31.85,29
525,2017-05-24 14:14:47,31.77,29
526,2017-05-24 14:16:47,31.91,29
527,2017-05-24 14:18:47,31.8,29
528,2017-05-24 14:20:47,31.74,28.8
529,2017-05-24 14:22:47,31.86,29.3
530,2017-05-24 14:24:47,31.8,30.4
531,2017-05-24 14:26:47,31.78,31
532,2017-05-17 17:04:24,25.81,44
533,2017-05-17 17:06:24,25.85,44.1
534,2017-05-17 17:08:24,25.7,43.8
535,2017-05-17 17:10:24,25.76,43.5
536,2017-05-17 17:12:24,25.73,43.2
537,2017-05-17 17:14:24,25.86,43.3
538,2017-05-17 17:16:24,25.64,43.2
539,2017-05-17 17:18:24,25.75,43.1
540,2017-05-17 17:20:24,25.73,43
541,2017-05-17 17:22:24,25.64,42.8
542,2017-05-17 17:24:24,25.63,42.9
543,2017-05-17 17:26:24,25.63,42.6
544,2017-05-17 17:28:24,25.63,42.5
545,2017-05-17 17:30:24,25.72,42.5
546,2017-05-17 17:32:24,25.65,42.6
547,2017-05-17 17:34:24,25.61,42.6
548,2017-05-17 17:36:24,25.78,42.6
549,2017-05-17 17:38:24,25.56,42.7
550,2017-05-17 17:40:24,25.67,42.7
551,2017-05-17 17:42:24,25.59,42.8
552,2017-05-17 17:44:24,25.57,42.3
553,2017-05-17 17:46:24,25.69,42.3
554,2017-05-17 17:48:24,25.55,42
555,2017-05-17 17:50:24,25.66,41.8
556,2017-05-17 17:52:24,25.62,41.6
557,2017-05-17 17:54:24,25.63,41.5
558,2017-05-17 17:56:24,25.5,41.4
559,2017-05-17 17:58:24,25.58,41.2
560,2017-05-17 18:00:24,25.65,41
561,2017-05-17 18:02:24,25.56,41.2
562,2017-05-26 09:52:28,42.5,33.4
563,2017-05-26 09:54:28,39.06,33.3
564,2017-05-26 09:56:28,38.52,33.3
565,2017-05-26 09:58:28,37.87,33.4
566,2017-05-26 10:00:28,37.71,34
567,2017-05-26 10:02:28,37.35,34.5
568,2017-05-26 10:04:28,37.18,34.7
569,2017-05-26 10:06:28,37,35.1
570,2017-05-26 10:08:28,36.84,35.2
571,2017-05-26 10:10:28,36.68,35.1
572,2017-05-26 10:12:28,36.54,34.8
573,2017-05-26 10:14:28,36.39,34.8
574,2017-05-26 10:16:28,36.23,34.7
575,2017-05-26 10:18:28,36.14,34.7
576,2017-05-26 10:20:28,36.03,34.5
577,2017-05-26 10:22:28,35.96,34.8
578,2017-05-26 10:24:28,35.87,35.1
579,2017-05-26 10:26:28,35.79,35.2
580,2017-05-26 10:28:28,35.52,35.7
581,2017-05-26 10:30:28,35.61,35.8
582,2017-05-26 10:32:28,35.46,36.1
583,2017-05-26 10:34:28,35.45,36.4
584,2017-05-26 10:36:28,35.35,36.7
585,2017-05-26 10:38:28,35.2,36.7
586,2017-05-26 10:40:28,35.23,36.5
587,2017-05-26 10:42:28,35.07,36.8
588,2017-05-26 10:44:28,35.05,37.1
589,2017-05-26 10:46:28,34.91,37.2
590,2017-05-26 10:48:28,34.89,37.5
591,2017-05-26 10:50:28,34.77,37.8
592,2017-05-26 10:56:18,34.63,38.3
593,2017-05-26 10:58:18,34.59,38.4
594,2017-05-26 11:00:18,34.5,38.6
595,2017-05-26 11:02:18,34.25,38.6
596,2017-05-26 11:04:18,34.32,38.4
597,2017-05-26 11:06:18,34.21,38
598,2017-05-26 11:08:18,34.11,38.4
599,2017-05-26 11:10:18,34.11,38.6
600,2017-05-26 11:12:18,34.1,39.1
601,2017-05-26 11:14:18,33.95,39.5
602,2017-05-26 11:16:18,33.85,39.5
603,2017-05-26 11:18:18,33.84,39.3
604,2017-05-26 11:20:18,33.85,39
605,2017-05-26 11:22:18,33.64,39.2
606,2017-05-26 11:24:18,33.64,39.1
607,2017-05-26 11:26:18,33.6,39.2
608,2017-05-26 11:28:18,33.57,39.5
609,2017-05-26 11:30:18,33.52,39.6
610,2017-05-26 11:32:18,33.42,39.5
611,2017-05-26 11:34:18,33.36,39.5
612,2017-05-26 11:36:19,33.31,39.5
613,2017-05-26 11:38:19,33.27,39.3
614,2017-05-26 11:40:19,33.12,39.5
